respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.0849813376755205,0.25042102394759697
26708,0.04950291379092276,0.057388914196105804
26709,0.4318134260471016,0.6654738989872985
26710,0.49577446819864623,0.8878993705845365
26711,0.251887641759607,0.5280419967398894
26712,0.3987949757003909,0.9019075667102778
26713,0.34405136103883194,0.5043254359490515
26714,0.14370328422182996,0.29414590660530215
26715,0.0370404242828615,0.17705748228811866
26716,0.18058105317573653,0.8375968685973164
26717,0.021841786904388316,0.3755949818715273
26718,0.18617378559458217,0.3623955907908621
26719,0.10347088254464673,0.9255773975843752
26720,0.07309504128625863,0.1380925331486918
26721,0.47457104366820235,0.5273371507671081
26722,0.05117485184369458,0.08378738109463968
26723,0.6339356161502676,0.8135019654295751
26724,0.1104091929287872,0.5764260802437204
26725,0.04483069933759775,0.08363356609298633
26726,0.016283001844363675,0.03818897784278194
26727,0.30483461777757714,0.7639431553317149
26728,0.22339942513001834,0.517106105692545
26729,0.07580410225654317,0.27169003325128877
26730,0.04786732545786209,0.2213086874030276
26731,0.016973380190992867,0.2993397458734315
26732,0.1124095784365717,0.10227950214993536
26733,0.9160290927127396,0.9610342727676701
26734,0.8705897835493711,0.4209669416372522
26735,0.1424936595240767,0.4682661058938438
26736,0.06220240919094179,0.14126764301996442
26737,0.0838291588126635,0.1432714444501337
26738,0.6449120103317099,0.8679788177541196
26739,0.10327375047006708,0.2003743163841085
26740,0.16161060765585594,0.14775548511246578
26741,0.2042442835965216,0.9229545844452987
26742,0.1515417157338014,0.5183012595578431
26743,0.03647709383930765,0.4159799845325357
26744,0.05780682482627124,0.5495873729467157
26745,0.10761886511984796,0.930022007892077
26746,0.10450995214993966,0.2970132671232253
26747,0.09036781765382974,0.3360099129447248
26748,0.11269152825060737,0.085166768931417
26749,0.07575131187795386,0.6745007009556292
26750,0.6555006513314668,0.9001718569937673
26751,0.29844649913737875,0.6792895062302031
26752,0.02321590825885832,0.02516728139420512
26753,0.18502633089830395,0.5860108877265405
26754,0.09175286043612413,0.48878275454040726
26755,0.09877973775742693,0.328417230844762
26756,0.01684609252693375,0.04129772136285112
26757,0.46433187123626585,0.49616902214219355
26758,0.6212513131189876,0.8737534012776311
26759,0.04058167094064846,0.21615309222149798
26760,0.008783707155528512,0.0174637348105178
26761,0.1237520965508933,0.5012698828671108
26762,0.15695139468025232,0.8260582018347613
26763,0.8927394728798115,0.9824951859362787
26764,0.9307645790628013,0.9642571044651175
26765,0.03052761748756034,0.6922895909683616
26766,0.1474507914019756,0.15280345925907765
26767,0.747024176768563,0.6911468384377251
26768,0.012878462762248091,0.40876477391450583
26769,0.13431870081066957,0.14910185333676756
26770,0.13398192932645125,0.6931186901412615
26771,0.0747565938609912,0.19293589924485186
26772,0.0801826717017341,0.3775701260908486
26773,0.012816950231776892,0.419495898149003
26774,0.02901029875096869,0.5383581472936616
26775,0.11997112420417713,0.5310326063150353
26776,0.3312095176920187,0.26264134107310017
26777,0.13108956716003897,0.922142370595205
26778,0.17242700501939345,0.23324297449509962
26779,0.10634114194487239,0.44494096665938504
26780,0.17062995338788267,0.9505310902783304
26781,0.039875163763267794,0.39010265852536974
26782,0.048165743651759706,0.34580854461534644
26783,0.07535746395729265,0.41746242293464714
26784,0.32345620611744036,0.8630428311341303
26785,0.33430583320550183,0.49282776632559655
26786,0.12587368315568623,0.2562239515006647
26787,0.10462606820178384,0.4543622343650005
26788,0.12130478475513784,0.9286806457444751
26789,0.014030145577284181,0.27648927400982387
26790,0.06451996198720057,0.30957814311749066
26791,0.055473235810005635,0.10243403819834818
26792,0.20282854098588315,0.7806699702231175
26793,0.11052579575538633,0.8871677342362682
26794,0.7780334337659888,0.8965032300697459
26795,0.041510059959575935,0.9349051384841107
26796,0.05625280669088532,0.07389901749812217
26797,0.08067186235636528,0.5601516138661651
26798,0.19086779697964593,0.19014247112681137
26799,0.21226355767148183,0.15225535399836349
26800,0.03767169068049527,0.9242436985684274
26801,0.23630463430166188,0.30923229166031047
26802,0.1108793312531702,0.2182216293353779
26803,0.04774246971926534,0.1313664308012132
26804,0.06666755048248589,0.14212093292547467
26805,0.08140323898043346,0.25343402929505154
26806,0.05970113811903635,0.8637577376849563
26807,0.6573866917883703,0.9467543033324126
26808,0.25680941740201807,0.5686441710254496
26809,0.7570807010926095,0.21202985470860813
26810,0.03921213650289387,0.1432871004583936
26811,0.048468016958290734,0.04620053741827576
26812,0.13274606404735884,0.6979019951202607
26813,0.3042708228512014,0.2830590332382597
26814,0.03163369988394131,0.4078361343665907
26815,0.06882871588565388,0.16850341612832126
26816,0.04173067092505011,0.18643950477827748
26817,0.14620255685274913,0.6890728079391901
26818,0.06920732427391017,0.2342554380550282
26819,0.37790665182012534,0.4368225799048844
26820,0.09466064809884497,0.2876906241866346
26821,0.11414889059811081,0.45640599894009387
26822,0.22673445874964232,0.6360706254199501
26823,0.4587918588702107,0.5127060990103589
26824,0.03927750361626745,0.6653863724629224
26825,0.4087479627702504,0.7607354793166307
26826,0.08200455317649209,0.7009556039076335
26827,0.06294460527756662,0.16720449308990867
26828,0.16204937031959274,0.6149847905449899
26829,0.5733639326875692,0.9001859986351379
26830,0.06910966969272586,0.6453926679403919
26831,0.19637798117411798,0.8051076818328604
26832,0.11475846920948776,0.7927847783083284
26833,0.009153059549813821,0.39111551126332733
26834,0.14467259871220772,0.577221106554602
26835,0.34828462348559525,0.8886923686209192
26836,0.1634213686339108,0.6266738103889749
26837,0.03813612746721946,0.013140885818157866
26838,0.10899122937478617,0.431817724183567
26839,0.1451082140408651,0.5160969254114585
26840,0.09558202436577082,0.14113655843592365
26841,0.32044333482653525,0.8146320051356547
26842,0.08751740728199281,0.2327423376410834
26843,0.0379129738830111,0.01281154403996
26844,0.04368444536913682,0.5482086627642211
26845,0.07581154570836773,0.7393628944131729
26846,0.05858704024297179,0.6755064620950031
26847,0.29928603446821095,0.06343965915997674
26848,0.03646780127837423,0.663986034901824
26849,0.1165476001038306,0.6245025972038646
26850,0.5631291644783785,0.655762946252288
26851,0.030953111357159238,0.04375638760208699
26852,0.04227919605870904,0.13771734180750173
26853,0.44807873311285185,0.44798819458566536
26854,0.016155120189880936,0.06627910267041234
26855,0.5821665446767544,0.8798344177347501
26856,0.1020974993749625,0.031033582635898494
26857,0.4347793655976323,0.18385457185937976
26858,0.12295992445539128,0.5807086658792591
26859,0.08560595912944487,0.12543437134843327
26860,0.11134907734513413,0.08931659880329182
26861,0.0645508925458515,0.08639972786043984
26862,0.09812200255907194,0.2459900294923956
26863,0.19697949079673888,0.3779892297955117
26864,0.48043460008793376,0.473528583871287
26865,0.013300054414752021,0.02976167089162175
26866,0.25463366611282096,0.6762899647225065
26867,0.10356098410799969,0.16001570941599555
26868,0.7757055093240702,0.9290517174287061
26869,0.12009919364761876,0.44823024581485726
26870,0.5869071989515255,0.7874021333685979
26871,0.05350181043677117,0.03967848318181595
26872,0.06830702262138617,0.4292790294936215
